from_stop,to_stop,duration,cost
HKU,QMH,3,4.00
HKU,Cyberport,7,8.00
HKU,Wah Fu,12,12.50
HKU,Wah Kwai,16,17.00
HKU,Tin Wan,20,22.00
HKU,Aberdeen,25,27.00
HKU,Wong Chuk Hang,31,32.50
QMH,Cyberport,4,4.00
QMH,Wah Fu,9,8.50
QMH,Wah Kwai,13,13.00
QMH,Tin Wan,17,18.00
QMH,Aberdeen,22,23.00
QMH,Wong Chuk Hang,28,28.50
Cyberport,Wah Fu,5,4.50
Cyberport,Wah Kwai,9,9.00
Cyberport,Tin Wan,13,14.00
Cyberport,Aberdeen,18,19.00
Cyberport,Wong Chuk Hang,24,24.50
Wah Fu,Wah Kwai,4,4.50
Wah Fu,Tin Wan,8,9.50
Wah Fu,Aberdeen,13,14.50
Wah Fu,Wong Chuk Hang,19,20.00
Wah Kwai,Tin Wan,4,5.00
Wah Kwai,Aberdeen,9,10.00
Wah Kwai,Wong Chuk Hang,15,15.50
Tin Wan,Aberdeen,5,5.00
Tin Wan,Wong Chuk Hang,11,10.50
Aberdeen,Wong Chuk Hang,6,5.50
