ROUTE_ID,DIRECTION,STATION_SEQNO,STATION_ID,STATION_LATITUDE,STATION_LONGITUDE,STATION_NAME_CHI,STATION_NAME_ENG,REFERENCE_ID
K12,O,1,K12-U010,22.444414,114.169471,大埔墟站,Tai Po Market Station,K12
K12,O,2,K12-U020,22.450971,114.169957,大埔超級城,Tai Po Mega Mall,K12
K12,O,3,K12-U030,22.452836,114.166496,八號花園,Eightland Garden,K12
K12,I,1,K12-D010,22.452836,114.166496,八號花園,Eightland Garden,K12
K12,I,2,K12-D020,22.451278,114.170087,大埔超級城,Tai Po Mega Mall,K12
K12,I,3,K12-D030,22.443712,114.16991,新達廣場,Uptown Plaza,K12
K12,I,4,K12-D040,22.444414,114.169471,大埔墟站,Tai Po Market Station,K12
K14,O,1,K14-D010,22.451278,114.170087,大埔超級城,Tai Po Mega Mall,K14
K14,O,2,K14-D020,22.443712,114.16991,新達廣場,Uptown Plaza,K14
K14,O,3,K14-D030,22.444414,114.169471,大埔墟站,Tai Po Market Station,K14
K17,O,1,K17-U010,22.444414,114.169471,大埔墟站,Tai Po Market Station,K17
K17,O,2,K17-U020,22.453021,114.172331,大埔中心第五期,Tai Po Centre Phase 5,K17
K17,O,3,K17-U030,22.454538,114.174428,怡雅苑,Yee Nga Court,K17
K17,O,4,K17-U040,22.454322,114.174098,富善,Fu Shin,K17
K17,I,1,K17-D010,22.454322,114.174098,富善,Fu Shin,K17
K17,I,2,K17-D020,22.443712,114.16991,新達廣場,Uptown Plaza,K17
K17,I,3,K17-D030,22.444414,114.169471,大埔墟站,Tai Po Market Station,K17
K18,O,1,K18-U010,22.444414,114.169471,大埔墟站,Tai Po Market Station,K18
K18,O,2,K18-U020,22.447531,114.17473,宏福苑,Wang Fuk Court,K18
K18,O,3,K18-U030,22.4487,114.174398,廣福,Kwong Fuk,K18
K18,I,1,K18-D010,22.4487,114.174398,廣福,Kwong Fuk,K18
K18,I,2,K18-D020,22.443712,114.16991,新達廣場,Uptown Plaza,K18
K18,I,3,K18-D030,22.444414,114.169471,大埔墟站,Tai Po Market Station,K18
