Station,Latitude,Longitude
"AsiaWorld-Expo",22.3239,114.2606
"Airport",22.3089,114.2556
"Tsing Yi",22.2894,114.2494
"Kowloon",22.3028,114.2522
"Hong Kong",22.2850,114.1583
"Sunny Bay",22.3161,114.2600
"Disneyland Resort",22.3128,114.2611
"Lo Wu",22.5272,114.2422
"Sheung Shui",22.4944,114.1536
"Fanling",22.4944,114.1317
"Tai Wo",22.4628,114.1294
"Tai Po Market",22.4411,114.1572
"University",22.4161,114.2078
"Fo Tan",22.3894,114.2056
"Sha Tin",22.3861,114.2017
"Tai Wai",22.3706,114.1939
"Kowloon Tong",22.3361,114.1811
"Mong Kok East",22.3208,114.1811
"Hung Hom",22.3028,114.1844
"Exhibition Centre",22.2850,114.1711
"Admiralty",22.2778,114.1572
"Wan Chai",22.2794,114.1456
"Causeway Bay",22.2781,114.1339
"North Point",22.2811,114.1211
"Quarry Bay",22.2856,114.1089
"Chai Wan",22.2628,114.0939
"Sai Wan Ho",22.2650,114.1061
"Tai Koo",22.2789,114.1083
"Sheung Wan",22.2850,114.1528
"Central",22.2811,114.1583
"Des Voeux Road",22.2850,114.1594
"South Side",22.2803,114.1603
"Mong Kok",22.3167,114.1750
"Prince Edward",22.3211,114.1694
"Sham Shui Po",22.3308,114.1639
"Cheung Sha Wan",22.3317,114.1550
"Lai Chi Kok",22.3444,114.1478
"Mei Foo",22.3567,114.1417
"Tsuen Wan",22.3731,114.1194
"Kwai Fong",22.3561,114.1100
"Kwai Hing",22.3631,114.1111
"Tai Wo Hau",22.3728,114.1100
"Hong Kwong",22.2856,114.1581
"Yau Ma Tei",22.2944,114.1717
"Jordan",22.2958,114.1778
"Tsim Sha Tsui",22.2944,114.1833
"East Tsim Sha Tsui",22.2978,114.1761
"Ho Man Tin",22.3011,114.1878
"Shek Kip Mei",22.3303,114.1806
"Kowloon City",22.3347,114.1906
"To Kwa Wan",22.3100,114.1933
"Mong Kok East",22.3208,114.1811
"Choi Hung",22.3356,114.2039
"Kowloon Bay",22.3378,114.2089
"Ngau Tau Kok",22.3422,114.2103
"Kwun Tong",22.3442,114.2161
"Lam Tin",22.3578,114.2239
"Yau Tong",22.3644,114.2261
"Tiu Keng Leng",22.3711,114.2244
"Po Lam",22.3811,114.2211
"Hang Hau",22.3881,114.2272
"University",22.4178,114.2053
"Hill Road",22.2869,114.1561
"Sai Ying Pun",22.2861,114.1461
"Kennedy Town",22.2692,114.1211
"HKU",22.2703,114.1294
"Causeway Bay",22.2783,114.1344
"Tin Hau",22.2803,114.1292
"Fortress Hill",22.2811,114.1161
"North Point",22.2808,114.1211
"Sai Wan Ho",22.2653,114.1061
"Wah Fu Estate",22.2564,114.0875
"Aberdeen",22.2497,114.0772
"Wong Chuk Hang",22.2506,114.0647
"Lee Chong",22.2575,114.0528
"City One Shatin",22.3869,114.1964
"Sha Tin",22.3831,114.2014
"Fo Tan",22.3894,114.2056
"Racecourse",22.3958,114.2036
"City One Shatin",22.3867,114.1961
"Siu Hong",22.4194,114.0211
"Light Rail Depot",22.4203,114.0161
"Kings Park",22.3083,114.1739
"Yau Ma Tei",22.2944,114.1717
"South Horrace",22.3144,114.1717
"Temple",22.3258,114.1783
"Shenzhen",22.5492,114.2517
"Fanling",22.4950,114.1311
"Sheung Shui",22.4939,114.1533
