"Station_No","Key","Value","AJTextEn","AJTextZh","Exit_Coordinate_X_Y"
"117","AJ1","N","","",""
"117","AJ2","Y","Exit B2","B2 出口",""
"117","AJ3","Y","Exit A","A 出口",""
"117","AJ4","N","","",""
"117","AJ5","N","","",""
"117","AJ6","N","","",""
"117","AJ7","N","","",""
"117","AJ8","Y","","",""
"117","AJ9","N","","",""
"117","HIn1","Y","","",""
"117","HJ1","Y","","",""
"117","HJ2","Y","","",""
"117","HJ3","N","","",""
"117","HJ4","Y","","",""
"117","HJ5","N","","",""
"117","HJ6","N","","",""
"117","HJ7","Y","","",""
"117","HJ8","N","","",""
"117","MJ1","Y","","",""
"117","MJ2","Y","","",""
"117","MJ3","Y","","",""
"117","MJ4","N","","",""
"117","MJ5","Y","","",""
"117","MJ6","N","","",""
"117","MJ7","N","","",""
"117","MJ8","N","","",""
"117","VIn1","Y","","",""
"117","VIn2","Y","","",""
"117","VJ1","Y","","",""
"117","VJ2","Y","","",""
"117","VJ3","N","","",""
"117","VJ4","Y","","",""
"117","VJ5","Y","","",""
"117","VJ6","Y","","",""
"117","VJ7","Y","","",""
"117","VJ8","Y","","",""
"37","AJ1","N","","",""
"37","AJ2","N","","",""
"37","AJ3","N","","",""
"37","AJ4","Y","Exits A & D","A 和 D 出口",""
"37","AJ5","N","","",""
"37","AJ6","N","","",""
"37","AJ7","N","","",""
"37","AJ8","Y","","",""
"37","AJ9","N","","",""
"37","HIn1","Y","","",""
"37","HJ1","Y","","",""
"37","HJ2","Y","","",""
"37","HJ3","Y","","",""
"37","HJ4","N","","",""
"37","HJ5","Y","","",""
"37","HJ6","N","","",""
"37","HJ7","N","","",""
"37","HJ8","N","","",""
"37","MJ1","Y","","",""
"37","MJ2","Y","","",""
"37","MJ3","Y","","",""
"37","MJ4","N","","",""
"37","MJ5","N","","",""
"37","MJ6","Y","","",""
"37","MJ7","N","","",""
"37","MJ8","N","","",""
"37","VIn1","Y","","",""
"37","VIn2","Y","","",""
"37","VJ1","Y","","",""
"37","VJ2","Y","","",""
"37","VJ3","N","","",""
"37","VJ4","Y","","",""
"37","VJ5","Y","","",""
"37","VJ6","Y","","",""
"37","VJ7","Y","","",""
"37","VJ8","Y","","",""
"114","AJ1","N","","",""
"114","AJ2","N","","",""
"114","AJ3","Y","Exit D","D 出口",""
"114","AJ4","N","","",""
"114","AJ5","N","","",""
"114","AJ6","N","","",""
"114","AJ7","N","","",""
"114","AJ8","Y","","",""
"114","AJ9","N","","",""
"114","HIn1","Y","","",""
"114","HJ1","Y","","",""
"114","HJ2","Y","","",""
"114","HJ3","N","","",""
"114","HJ4","Y","","",""
"114","HJ5","N","","",""
"114","HJ6","N","","",""
"114","HJ7","Y","","",""
"114","HJ8","N","","",""
"114","MJ1","Y","","",""
"114","MJ2","Y","","",""
"114","MJ3","Y","","",""
"114","MJ4","N","","",""
"114","MJ5","Y","","",""
"114","MJ6","N","","",""
"114","MJ7","N","","",""
"114","MJ8","N","","",""
"114","VIn1","Y","","",""
"114","VIn2","Y","","",""
"114","VJ1","Y","","",""
"114","VJ2","Y","","",""
"114","VJ3","N","","",""
"114","VJ4","Y","","",""
"114","VJ5","Y","","",""
"114","VJ6","Y","","",""
"114","VJ7","Y","","",""
"114","VJ8","Y","","",""
"74","AJ1","Y","Exit B","B 出口",""
"74","AJ2","Y","Exit C","C 出口",""
"74","AJ3","N","","",""
"74","AJ4","N","","",""
"74","AJ5","N","","",""
"74","AJ6","N","","",""
"74","AJ7","Y","Exit A","A 出口",""
"74","AJ8","Y","","",""
"74","AJ9","N","","",""
"74","HIn1","Y","","",""
"74","HJ1","Y","","",""
"74","HJ2","Y","","",""
"74","HJ3","N","","",""
"74","HJ4","Y","","",""
"74","HJ5","N","","",""
"74","HJ6","N","","",""
"74","HJ7","Y","","",""
"74","HJ8","N","","",""
"74","MJ1","Y","","",""
"74","MJ2","Y","","",""
"74","MJ3","Y","","",""
"74","MJ4","N","","",""
"74","MJ5","Y","","",""
"74","MJ6","N","","",""
"74","MJ7","N","","",""
"74","MJ8","N","","",""
"74","VIn1","Y","","",""
"74","VIn2","Y","","",""
"74","VJ1","Y","","",""
"74","VJ2","Y","","",""
"74","VJ3","Y","","",""
"74","VJ4","Y","","",""
"74","VJ5","Y","","",""
"74","VJ6","Y","","",""
"74","VJ7","Y","","",""
"74","VJ8","Y","","",""
"34","AJ1","N","","",""
"34","AJ2","N","","",""
"34","AJ3","Y","Exit B","B 出口",""
"34","AJ4","N","","",""
"34","AJ5","N","","",""
"34","AJ6","N","","",""
"34","AJ7","N","","",""
"34","AJ8","Y","","",""
"34","AJ9","N","","",""
"34","HIn1","Y","","",""
"34","HJ1","Y","","",""
"34","HJ2","Y","","",""
"34","HJ3","Y","","",""
"34","HJ4","N","","",""
"34","HJ5","Y","","",""
"34","HJ6","N","","",""
"34","HJ7","N","","",""
"34","HJ8","N","","",""
"34","MJ1","Y","","",""
"34","MJ2","Y","","",""
"34","MJ3","Y","","",""
"34","MJ4","N","","",""
"34","MJ5","N","","",""
"34","MJ6","Y","","",""
"34","MJ7","N","","",""
"34","MJ8","N","","",""
"34","VIn1","Y","","",""
"34","VIn2","Y","","",""
"34","VJ1","Y","","",""
"34","VJ2","Y","","",""
"34","VJ3","N","","",""
"34","VJ4","Y","","",""
"34","VJ5","Y","","",""
"34","VJ6","Y","","",""
"34","VJ7","Y","","",""
"34","VJ8","Y","","",""
"111","AJ1","N","","",""
"111","AJ2","Y","Exit A","A 出口",""
"111","AJ3","Y","Exits B, D & F","B、D 和 F 出口",""
"111","AJ4","N","","",""
"111","AJ5","N","","",""
"111","AJ6","N","","",""
"111","AJ7","N","","",""
"111","AJ8","Y","","",""
"111","AJ9","N","","",""
"111","HIn1","Y","","",""
"111","HJ1","Y","","",""
"111","HJ2","Y","","",""
"111","HJ3","N","","",""
"111","HJ4","Y","","",""
"111","HJ5","N","","",""
"111","HJ6","N","","",""
"111","HJ7","Y","","",""
"111","HJ8","N","","",""
"111","MJ1","Y","","",""
