"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_octo_joyyou_sixty","fare_single_adult","fare_single_child","fare_single_elderly"
"1","1",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1","10",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","15",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","20",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","30",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","240",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","250",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","260",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","265",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","920",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","40",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","50",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","60",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","70",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","75",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","80",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","170",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","180",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","190",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","200",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","212",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","220",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","230",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","270",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"1","275",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","280",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","295",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","300",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","310",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","320",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","330",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"1","90",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","100",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","110",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"1","120",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"1","130",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"1","140",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","150",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","160",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","340",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"1","350",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"1","360",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"1","370",6.50,3.30,2.00,2.00,3.30,2.00,6.50,3.50,3.50
"1","380",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","390",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","400",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","425",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","430",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","435",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","445",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","448",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","450",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","455",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"1","460",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"1","490",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"1","500",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"1","468",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"1","480",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
