"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"505","1","SAS","920","三聖","Sam Shing",1.00
"505","1","SIL","265","兆麟","Siu Lun",2.00
"505","1","ONT","270","安定","On Ting",3.00
"505","1","TOC","280","市中心","Town Centre",4.00
"505","1","TML","295","屯門","Tuen Mun",5.00
"505","1","KIO","060","建安","Kin On",6.00
"505","1","SKS","190","山景(南)","Shan King (South)",7.00
"505","1","SKN","180","山景(北)","Shan King (North)",8.00
"505","1","SHP","170","石排","Shek Pai",9.00
"505","1","SAW","160","新圍","San Wai",10.00
"505","1","LEK","150","良景","Leung King",11.00
"505","1","TNK","140","田景","Tin King",12.00
"505","1","KIS","130","建生","Kin Sang",13.00
"505","1","CHC","120","青松","Ching Chung",14.00
"505","1","KEL","110","麒麟","Kei Lun",15.00
"505","1","SHL","100","兆康","Siu Hong",16.00
"505","2","SHL","100","兆康","Siu Hong",1.00
"505","2","CHC","120","青松","Ching Chung",2.00
"505","2","KIS","130","建生","Kin Sang",3.00
"505","2","TNK","140","田景","Tin King",4.00
"505","2","LEK","150","良景","Leung King",5.00
"505","2","SAW","160","新圍","San Wai",6.00
"505","2","SHP","170","石排","Shek Pai",7.00
"505","2","MIK","200","鳴琴","Ming Kum",8.00
"505","2","KIO","060","建安","Kin On",9.00
"505","2","TML","295","屯門","Tuen Mun",10.00
"505","2","TOC","280","市中心","Town Centre",11.00
"505","2","ONT","270","安定","On Ting",12.00
"505","2","SIL","265","兆麟","Siu Lun",13.00
"505","2","SAS","920","三聖","Sam Shing",14.00
"507","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"507","1","SHE","240","兆禧","Siu Hei",2.00
"507","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",3.00
"507","1","GOG","260","豐景園","Goodview Garden",4.00
"507","1","SIL","265","兆麟","Siu Lun",5.00
"507","1","ONT","270","安定","On Ting",6.00
"507","1","TOC","280","市中心","Town Centre",7.00
"507","1","TML","295","屯門","Tuen Mun",8.00
"507","1","HOT","070","河田","Ho Tin",9.00
"507","1","CYB","075","蔡意橋","Choy Yee Bridge",10.00
"507","1","NGW","230","銀圍","Ngan Wai",11.00
"507","1","THS","220","大興(南)","Tai Hing (South)",12.00
"507","1","THN","212","大興(北)","Tai Hing (North)",13.00
"507","1","SAW","160","新圍","San Wai",14.00
"507","1","LEK","150","良景","Leung King",15.00
"507","1","TNK","140","田景","Tin King",16.00
"507","2","TNK","140","田景","Tin King",1.00
"507","2","TNK","140","田景","Tin King",2.00
"507","2","LEK","150","良景","Leung King",3.00
"507","2","SAW","160","新圍","San Wai",4.00
"507","2","THN","212","大興(北)","Tai Hing (North)",5.00
"507","2","THS","220","大興(南)","Tai Hing (South)",6.00
"507","2","NGW","230","銀圍","Ngan Wai",7.00
"507","2","CYB","075","蔡意橋","Choy Yee Bridge",8.00
"507","2","HOT","070","河田","Ho Tin",9.00
"507","2","TML","295","屯門","Tuen Mun",10.00
"507","2","TOC","280","市中心","Town Centre",11.00
"507","2","ONT","270","安定","On Ting",12.00
"507","2","SIL","265","兆麟","Siu Lun",13.00
"507","2","GOG","260","豐景園","Goodview Garden",14.00
"507","2","TSP","250","屯門泳池","Tuen Mun Swimming Pool",15.00
